"Complete order in one step","Zakljuci narocilo v enem koraku"
"Selected orders are confirmed for shipment!","Izbrana narocila so potrjena za odpremo!"
"Confirm Shipment","Potrdi dostavo"
"Selected orders have been completed!","Oznacena narocila so zakljucena!"
